project,description,ended,homepage,name,started,status
phoenix,"Phoenix is an open source SQL query engine for Apache HBase, a NoSQL data store. It is accessed as a JDBC driver and enables querying and managing HBase tables using SQL.",2014-05,http://phoenix.incubator.apache.org/,Apache Phoenix (Incubating),2013-12,graduated
photark,"A Photo Gallery application, accessible via the web and written in Java",2012-12,http://photark.incubator.apache.org/,Apache PhotArk (Incubating),2008-08,retired
pig,Pig is a platform for analyzing large datasets.,2008-10,http://pig.incubator.apache.org/,Apache Pig (Incubating),2007-10,graduated
pinot,Pinot is a distributed columnar storage engine that can ingest data in real-time and serve analytical queries at low latency.,2021-07,http://pinot.incubator.apache.org/,Apache Pinot (Incubating),2018-10,graduated
pirk,Pirk is a framework for scalable Private Information Retrieval (PIR).,2017-04,http://pirk.incubator.apache.org/,Apache Pirk (Incubating),2016-06,retired
pivot,A platform for building rich internet applications in Java.,2009-12,http://pivot.incubator.apache.org/,Apache Pivot (Incubating),2009-01,graduated
plc4x,PLC4X is a set of libraries for communicating with industrial programmable logic controllers (PLCs) using a variety of protocols but with a shared API.,2019-04,http://plc4x.incubator.apache.org/,Apache PLC4X (Incubating),2017-12,graduated
pluto,JSR 168 Reference Implementation,2004-05,http://pluto.incubator.apache.org/,Apache Pluto (Incubating),2003-09,graduated
predictionio,"PredictionIO is an open source Machine Learning Server built on top of state-of-the-art open source stack, that enables developers to manage and deploy production-ready predictive services for various kinds of machine learning tasks.",2017-10,http://predictionio.incubator.apache.org/,Apache PredictionIO (Incubating),2016-05,graduated
provisionr,Provisionr provides a service to manage pools of virtual machines on multiple clouds.,2013-11,http://provisionr.incubator.apache.org/,Apache Provisionr (Incubating),2013-03,retired
pulsar,"Pulsar is a highly scalable, low latency messaging platform running on commodity hardware. It provides simple pub-sub semantics over topics, guaranteed at-least-once delivery of messages, automatic cursor management for subscribers, and cross-datacenter replication.",2018-09,http://pulsar.incubator.apache.org/,Apache Pulsar (Incubating),2017-06,graduated
qpid,Qpid provides multiple language implementations of the Advanced Messaged Queuing Protocol (AMQP),2008-12,http://qpid.incubator.apache.org/,Apache Qpid (Incubating),2006-08,graduated
quickstep,Quickstep is a high-performance database engine.,2018-12,http://quickstep.incubator.apache.org/,Apache Quickstep (Incubating),2016-03,retired
ranger,"
            The Ranger project is a framework to enable, monitor and manage comprehensive data security across the Hadoop platform.
            (The podling was originally called Argus)
        ",2017-01,http://ranger.incubator.apache.org/,Apache Ranger (Incubating),2014-07,graduated
rat,Comprehension and auditing for distributions and source code,2012-04,http://rat.incubator.apache.org/,Apache RAT (Incubating),2008-01,graduated
ratis,Ratis is a java implementation for RAFT consensus protocol,2021-02,http://ratis.incubator.apache.org/,Apache Ratis (Incubating),2017-01,graduated
rave,Rave is A WEb And SOcial Mashup Engine.,2012-03,http://rave.incubator.apache.org/,Apache Rave (Incubating),2011-03,graduated
rcf,JSF Component Library.,2009-09,http://rcf.incubator.apache.org/,Apache RCF (Incubating),2007-04,retired
reef,REEF (Retainable Evaluator Execution Framework) is a scale-out computing fabric that eases the development of Big Data applications on top of resource managers such as Apache YARN and Mesos.,2015-11,http://reef.incubator.apache.org/,Apache REEF (Incubating),2014-08,graduated
ripple,"Ripple is a browser based mobile phone emulator designed to aid in the development of HTML5 based mobile applications.  Ripple is a cross platform and cross runtime testing/debugging tool. It currently supports such runtimes as Cordova, WebWorks aand the Mobile Web.",2015-12,http://ripple.incubator.apache.org/,Apache Ripple (Incubating),2012-10,retired
river,River : Jini technology,2011-01,http://river.incubator.apache.org/,Apache River (Incubating),2006-12,graduated
rocketmq,"RocketMQ is a fast, low latency, reliable, scalable, distributed, easy to use message-oriented middleware, especially for processing large amounts of streaming data.",2017-09,http://rocketmq.incubator.apache.org/,Apache RocketMQ (Incubating),2016-11,graduated
roller,Roller blog server,2007-02,http://roller.incubator.apache.org/,Apache Roller (Incubating),2005-06,graduated
rya,"Rya (pronounced ""ree-uh"" /r/) is a cloud-based RDF triple store that supports SPARQL queries. Rya is a scalable RDF data management system built on top of Accumulo. Rya uses novel storage methods, indexing schemes, and query processing techniques that scale to billions of triples across multiple nodes. Rya provides fast and easy access to the data through SPARQL, a conventional query mechanism for RDF data.",2019-09,http://rya.incubator.apache.org/,Apache Rya (Incubating),2015-09,graduated
s2graph,S2Graph is a distributed and scalable OLTP graph database built on Apache HBase to support fast traversal of extremely large graphs.,2020-11,http://s2graph.incubator.apache.org/,Apache S2Graph (Incubating),2015-11,retired
s4,"S4 (Simple Scalable Streaming System) is a general-purpose, distributed, scalable, partially fault-tolerant, pluggable platform that allows programmers to easily develop applications for processing continuous, unbounded streams of data.",2014-06,http://s4.incubator.apache.org/,Apache S4 (Incubating),2011-09,retired
samoa,"SAMOA provides a collection of distributed streaming algorithms for the most common data mining and machine learning tasks such as classification, clustering, and regression, as well as programming abstractions to develop new algorithms that run on top of distributed stream processing engines (DSPEs). It features a pluggable architecture that allows it to run on several DSPEs such as Apache Storm, Apache S4, and Apache Samza.",2021-03,http://samoa.incubator.apache.org/,Apache SAMOA (Incubating),2014-12,retired
samza,"
            Samza is a stream processing system for running continuous computation on
            infinite streams of data.
        ",2015-01,http://samza.incubator.apache.org/,Apache Samza (Incubating),2013-07,graduated
sanselan,The Sanselan Project is a pure-java image library for reading and writing a variety of image formats.,2009-06,http://sanselan.incubator.apache.org/,Apache Sanselan (Incubating),2007-09,graduated
sdap,SDAP is an integrated data analytic center for Big Science problems.,2024-04,http://sdap.incubator.apache.org/,Apache SDAP (Incubating),2017-10,graduated
seatunnel,SeaTunnel is a very easy-to-use ultra-high-performance distributed data integration platform that supports real-time synchronization of massive data.,2023-05,http://seatunnel.incubator.apache.org/,Apache SeaTunnel (Incubating),2021-12,graduated
sedona,"Sedona is a big geospatial data processing engine. It provides an easy to use APIs for spatial data scientists to manage, wrangle, and process geospatial data.",2022-12,http://sedona.incubator.apache.org/,Apache Sedona (Incubating),2020-07,graduated
sentry,"
            Sentry is a highly modular system for providing fine grained role
            based authorization to both data and metadata stored on an Apache Hadoop cluster.
        ",2016-03,http://sentry.incubator.apache.org/,Apache Sentry (Incubating),2013-08,graduated
servicecomb,ServiceComb is a microservice framework that provides a set of tools and components to make development and deployment of cloud applications easier.,2018-10,http://servicecomb.incubator.apache.org/,Apache ServiceComb (Incubating),2017-11,graduated
servicemix,The ServiceMix project will create an ESB and component suite based on the Java Business Interface (JBI) standard - JSR 208.,2007-09,http://servicemix.incubator.apache.org/,Apache ServiceMix (Incubating),2005-12,graduated
shardingsphere,"ShardingSphere related to a database clustering system providing data sharding, distributed transactions, and distributed database management.",2020-04,http://shardingsphere.incubator.apache.org/,Apache ShardingSphere (Incubating),2018-11,graduated
shenyu,"ShenYu is a high performance Microservices API gateway in Java ecosystem, compatible with a variety of mainstream framework systems, it supports hot plugin loading.",2022-07,http://shenyu.incubator.apache.org/,Apache ShenYu (Incubating),2021-05,graduated
shindig,The Shindig Project is an OpenSocial container.,2010-01,http://shindig.incubator.apache.org/,Apache Shindig (Incubating),2007-12,graduated
shiro,"Security framework. (Initially known as JSecurity or Ki, renamed June 2009)",2010-09,http://shiro.incubator.apache.org/,Apache Shiro (Incubating),2008-05,graduated
singa,SINGA is a distributed deep learning platform.,2019-10,http://singa.incubator.apache.org/,Apache SINGA (Incubating),2015-03,graduated
sirona,Monitoring Solution.,2017-07,http://sirona.incubator.apache.org/,Apache Sirona (Incubating),2013-10,retired
sis,The Spatial Information System (SIS) Project is a toolkit that spatial information system builders or users can leverage to build applications containing location context.,2012-09,http://sis.incubator.apache.org/,Apache SIS (Incubating),2010-02,graduated
skywalking,"Skywalking is an APM (application performance monitor), especially for microservice, Cloud Native and container-based architecture systems. Also known as a distributed tracing system. It provides an automatic way to instrument applications: no need to change any of the source code of the target application; and an collector with an very high efficiency streaming module.",2019-04,http://skywalking.incubator.apache.org/,Apache SkyWalking (Incubating),2017-12,graduated
slider,"Slider is a collection of tools and technologies to package, deploy, and manage long running applications on Apache Hadoop YARN clusters.",2018-05,http://slider.incubator.apache.org/,Apache Slider (Incubating),2014-04,retired
sling,Sling is a framework to develop content centric web applications based on the idea of modularizing the rendering of HTTP resources.,2009-06,http://sling.incubator.apache.org/,Apache Sling (Incubating),2007-09,graduated
socialsite,"SocialSite is an OpenSocial-based headless social networking server and a set of OpenSocial Gadgets that make it easy to add social features to existing web sites. Server provides admin console for configuration, gadget approval and management. Gadgets can be combined to form complete UI for social networking with friending, group management and message support.",2010-10,http://socialsite.incubator.apache.org/,Apache SocialSite (Incubating),2009-05,retired
solr,Full Text Search Server,2007-01,http://solr.incubator.apache.org/,Apache Solr (Incubating),2006-01,graduated
spamassassin,Mail filter to identify spam.,2004-06,http://spamassassin.incubator.apache.org/,Apache SpamAssassin (Incubating),2003-12,graduated
spark,Spark is an open source system for fast and flexible large-scale data analysis. Spark provides a general purpose runtime that supports low-latency execution in several forms.,2014-02,http://spark.incubator.apache.org/,Apache Spark (Incubating),2013-06,graduated
spot,Apache Spot is a platform for network telemetry built on an open data model and Apache Hadoop.,2023-03,http://spot.incubator.apache.org/,Apache Spot (Incubating),2016-09,retired
sqoop,Sqoop is a tool designed for efficiently transferring bulk data between Apache Hadoop and structured datastores such as relational databases.,2012-03,http://sqoop.incubator.apache.org/,Apache Sqoop (Incubating),2011-06,graduated
stanbol,A modular software stack and reusable set of components for semantic content management,2012-09,http://stanbol.incubator.apache.org/,Apache Stanbol (Incubating),2010-11,graduated
stdcxx,The Apache C++ Standard Library project is a complete implementation of the ISO/IEC 14882 C++ Standard Library.,2007-11,http://stdcxx.incubator.apache.org/,Apache stdcxx (Incubating),2005-05,graduated
stonehenge,"Stonehenge is a set of interoperability scenarios for Service Oriented Architecture and Web Services that demonstrate interoperability between multiple systems including Apache Axis2, WSF/PHP and Microsoft WCF. The code also demonstrates good practice for standards-based interoperability.",2011-07,http://stonehenge.incubator.apache.org/,Apache Stonehenge (Incubating),2008-11,retired
storm,"Storm is a distributed, fault-tolerant, and high-performance realtime computation system that provides strong guarantees on the processing of data.",2014-09,http://storm.incubator.apache.org/,Apache Storm (Incubating),2013-09,graduated
stratos,"Stratos will be a polyglot PaaS framework, providing developers a cloud-based environment for developing, testing, and running scalable applications, and IT providers high utilization rates, automated resource management, and platform-wide insight including monitoring and billing.",2014-05,http://stratos.incubator.apache.org/,Apache Stratos (Incubating),2013-06,graduated
streampark,StreamPark is a streaming application development platform.,2025-01,http://streampark.incubator.apache.org/,Apache StreamPark (Incubating),2022-09,graduated
streampipes,"StreamPipes is a self-service (Industrial) IoT toolbox to enable non-technical users to connect, analyze and explore (Industrial) IoT data streams.",2022-11,http://streampipes.incubator.apache.org/,Apache StreamPipes (Incubating),2019-11,graduated
streams,Apache Streams is a lightweight server for ActivityStreams.,2017-07,http://streams.incubator.apache.org/,Apache Streams (Incubating),2012-11,graduated
subversion,"Subversion is an open-source version control system, with a long and detailed list of features. (See http://subversion.apache.org/features.html)",2010-02,http://subversion.incubator.apache.org/,Apache Subversion (Incubating),2009-11,graduated
superset,"Superset is an enterprise-ready web application for data exploration, data visualization and dashboarding.",2020-11,http://superset.incubator.apache.org/,Apache Superset (Incubating),2017-05,graduated
synapse,Web Services Mediation Framework,2007-01,http://synapse.incubator.apache.org/,Apache Synapse (Incubating),2005-08,graduated
syncope,"An Open Source system for managing digital identities in enterprise environments, implemented in JEE technology",2012-11,http://syncope.incubator.apache.org/,Apache Syncope (Incubating),2012-02,graduated
systemml,"SystemML provides declarative large-scale machine learning (ML) that aims at flexible specification of ML algorithms and automatic generation of hybrid runtime plans ranging from single node, in-memory computations, to distributed computations such as Apache Hadoop MapReduce and Apache Spark.",2017-05,http://systemml.incubator.apache.org/,Apache SystemML (Incubating),2015-11,graduated
tajo,Tajo is a distributed data warehouse system for Hadoop.,2014-04,http://tajo.incubator.apache.org/,Apache Tajo (Incubating),2013-03,graduated
tamaya,"Tamaya is a highly flexible configuration solution based on an modular, extensible and injectable key/value based design, which should provide a minimal but extendible modern and functional API leveraging SE, ME and EE environments.",2020-04,http://tamaya.incubator.apache.org/,Apache Tamaya (Incubating),2014-11,retired
tapestry,Alternative framework to JSP and Velocity scripting environments,2003-05,http://tapestry.incubator.apache.org/,Apache Tapestry (Incubating),2003-04,graduated
tashi,An infrastructure for cloud computing on big data.,2012-10,http://tashi.incubator.apache.org/,Apache Tashi (Incubating),2008-09,retired
taverna,Taverna is a domain-independent suite of tools used to design and execute data-driven workflows.,2020-02,http://taverna.incubator.apache.org/,Apache Taverna (Incubating),2014-10,retired
tephra,"
            Tephra is a system for providing globally consistent transactions on
            top of Apache HBase and other storage engines.
        ",2019-11,http://tephra.incubator.apache.org/,Apache Tephra (Incubating),2016-03,graduated
tez,Tez is an effort to develop a generic application framework which can be used to process arbitrarily complex data-processing tasks and also a re-usable set of data-processing primitives which can be used by other projects.,2014-07,http://tez.incubator.apache.org/,Apache Tez (Incubating),2013-02,graduated
thrift,Cross-language serialization and RPC framework.,2010-10,http://thrift.incubator.apache.org/,Apache Thrift (Incubating),2008-04,graduated
tika,Content analysis toolkit,2008-10,http://tika.incubator.apache.org/,Apache Tika (Incubating),2007-03,graduated
tinkerpop,TinkerPop is a graph computing framework written in Java,2016-05,http://tinkerpop.incubator.apache.org/,Apache TinkerPop (Incubating),2015-01,graduated
tobago,A JSF based framework for web-applications.,2006-03,http://tobago.incubator.apache.org/,Apache Tobago (Incubating),2005-10,graduated
trafficcontrol,"Apache Traffic Control can be used to build, monitor, configure, and provision a large-scale content delivery network (CDN).",2018-05,http://trafficcontrol.incubator.apache.org/,Apache Traffic Control (Incubating),2016-07,graduated
trafficserver,A scalable and extensible HTTP proxy server and cache.,2010-04,http://trafficserver.incubator.apache.org/,Apache Traffic Server (Incubating),2009-07,graduated
trafodion,Trafodion is a webscale SQL-on-Hadoop solution enabling transactional or operational workloads on Hadoop.,2017-12,http://trafodion.incubator.apache.org/,Apache Trafodion (Incubating),2015-05,graduated
trinidad,JSF Component Library. Known as ADF Faces during initial incubation,2007-04,http://trinidad.incubator.apache.org/,Apache Trinidad (Incubating),2006-03,graduated
triplesoup,SPARQL endpoint for your webserver. Project entering retired status after failing to get traction.,2007-10,http://triplesoup.incubator.apache.org/,Apache TripleSoup (Incubating),2007-02,retired
tsik,implementations of various W3C and OASIS specifications related to XML and Web services security,2006-03,http://tsik.incubator.apache.org/,Apache TSIK (Incubating),2005-05,retired
tuscany,Service Component Architecture implementation,2008-05,http://tuscany.incubator.apache.org/,Apache Tuscany (Incubating),2005-12,graduated
tuweni,Tuweni is a set of libraries and other tools to aid development of blockchain and other decentralized software in Java and other JVM languages.,2023-07,http://tuweni.incubator.apache.org/,Apache Tuweni (Incubating),2019-03,retired
tvm,"TVM is a full stack open deep learning compiler stack for CPUs, GPUs, and specialized accelerators. It aims to close the gap between the productivity-focused deep learning frameworks, and the performance- or efficiency-oriented hardware backends. ",2020-11,http://tvm.incubator.apache.org/,Apache TVM (Incubating),2019-03,graduated
twill,"Twill is an abstraction over Apache Hadoop YARN that reduces the complexity of developing distributed applications, allowing developers to focus more on their business logic",2016-06,http://twill.incubator.apache.org/,Apache Twill (Incubating),2013-11,graduated
uima,Framework for analysing unstructured data.,2010-03,http://uima.incubator.apache.org/,Apache UIMA (Incubating),2006-10,graduated
uniffle,Uniffle is an unified Remote Shuffle Service,2025-02,http://uniffle.incubator.apache.org/,Apache Uniffle (Incubating),2022-06,graduated
unomi,Unomi is a reference implementation of the OASIS Context Server specification currently being worked on by the OASIS Context Server Technical Committee. It provides a high-performance user profile and event tracking server.,2019-02,http://unomi.incubator.apache.org/,Apache Unomi (Incubating),2015-10,graduated
usergrid,"Usergrid is Backend-as-a-Service (BaaS) composed of an integrated database (Cassandra), application layer and client tier with SDKs for developers.",2015-08,http://usergrid.incubator.apache.org/,Apache Usergrid (Incubating),2013-10,graduated
vcl,"Virtual Computing Lab. Framework for creating, dispensing and running virtual images.",2012-06,http://vcl.incubator.apache.org/,Apache VCL (Incubating),2008-10,graduated
vxquery,A standards compliant XML Query processor.,2014-07,http://vxquery.incubator.apache.org/,Apache VXQuery (Incubating),2009-07,graduated
wadi,"a robust hetorgeneous clustering engine used to cluster geronimo, tomcat, jetty and other containers eventually.",2005-12,http://wadi.incubator.apache.org/,Apache WADI (Incubating),2005-12,retired
warble,a distributed endpoint monitoring solution where the agent is hosted on your own hardware.,2020-11,http://warble.incubator.apache.org/,Apache Warble (Incubating),2018-06,retired
wave,"A wave is a hosted, live, concurrent data structure for rich communication. It can be used like email, chat, or a document.",2018-01,http://wave.incubator.apache.org/,Apache Wave (Incubating),2010-12,retired
webwork2,A Java web-application development framework,2006-05,http://webwork2.incubator.apache.org/,Apache WebWork 2 (Incubating),2006-01,graduated
weex,Weex is a framework for building Mobile cross-platform high performance UI.,2021-05,http://weex.incubator.apache.org/,Apache Weex (Incubating),2016-11,retired
whirr,Whirr provides code for running a variety of software services on cloud infrastructure.,2011-08,http://whirr.incubator.apache.org/,Apache Whirr (Incubating),2010-05,graduated
wicket,A web application framework that focusses on bringing plain object oriented Java programming to the web tier,2007-06,http://wicket.incubator.apache.org/,Apache Wicket (Incubating),2006-08,graduated
wink,Apache Wink is a project that enables development and consumption of REST style web services. The core server runtime is based on the JAX-RS (JSR 311) standard. The project also introduces a client runtime which can leverage certain components of the server-side runtime. Apache Wink will deliver component technology that can be easily integrated into a variety of environments.,2012-12,http://wink.incubator.apache.org/,Apache Wink (Incubating),2009-05,graduated
woden,Implementation of WSDL 2.0,2007-12,http://woden.incubator.apache.org/,Apache Woden (Incubating),2005-03,graduated
wookie,a W3C widget engine with Google Wave and Open Social Extensions.,2012-11,http://wookie.incubator.apache.org/,Apache Wookie (Incubating),2009-07,graduated
wsrp4j,Implementation of OASIS Web Services for Remote Portlets (WSRP),2010-04,http://wsrp4j.incubator.apache.org/,Apache WSRP4J (Incubating),2003-09,retired
xap,Declarative framework for building Ajax-powered web apps,2009-06,http://xap.incubator.apache.org/,Apache XAP (Incubating),2006-05,retired
xmlbeans,XML-Java binding tool with 100% support for XML Schema and full Infoset fidelity,2004-06,http://xmlbeans.incubator.apache.org/,Apache XMLBeans (Incubating),2003-07,graduated
xmlbeanscxx,C++ equivalent of Apache XMLBeans.,2007-05,http://xmlbeanscxx.incubator.apache.org/,Apache XMLBeans/C++ (Incubating),2005-06,retired
yoko,A CORBA Server.,2007-12,http://yoko.incubator.apache.org/,Apache Yoko (Incubating),2006-01,retired
yunikorn,YuniKorn is a standalone resource scheduler responsible for scheduling batch jobs and long-running services on large scale distributed systems running in on-premises environments as well as different public clouds.,2022-03,http://yunikorn.incubator.apache.org/,Apache YuniKorn (Incubating),2020-01,graduated
zeppelin,"A collaborative data analytics and visualization tool for distributed, general-purpose data processing systems such as Apache Spark, Apache Flink, etc.",2016-05,http://zeppelin.incubator.apache.org/,Apache Zeppelin (Incubating),2014-12,graduated
zetacomponents,Zeta Components is a high-quality library of loosely-coupled PHP components.,2012-04,http://zetacomponents.incubator.apache.org/,Apache Zeta Components (Incubating),2010-05,retired
zipkin,Zipkin is a distributed tracing system. It helps gather timing data needed to troubleshoot latency problems in microservice architectures.,2019-06,http://zipkin.incubator.apache.org/,Apache Zipkin (Incubating),2018-08,retired
