yr,mon,d,stars
2023,9,20,1134
2023,9,21,1558
2023,9,22,1770
2023,9,23,872
2023,9,24,378
2023,9,25,344
2023,9,26,258
2023,9,27,160
2023,9,28,153
2023,9,29,128
2023,9,30,71
2023,10,1,53
2023,10,2,92
2023,10,3,85
2023,10,4,101
2023,10,5,105
2023,10,6,100
2023,10,7,51
2023,10,8,68
2023,10,9,85
2023,10,10,67
2023,10,11,73
2023,10,12,65
2023,10,13,57
2023,10,14,28
2023,10,15,43
2023,10,16,83
2023,10,17,73
2023,10,18,65
2023,10,19,68
2023,10,20,44
2023,10,21,20
2023,10,22,32
2023,10,23,48
2023,10,24,43
2023,10,25,53
2023,10,26,64
2023,10,27,74
2023,10,28,38
2023,10,29,20
2023,10,30,36
2023,10,31,27
2023,11,1,44
2023,11,2,45
2023,11,3,33
2023,11,4,15
2023,11,5,27
2023,11,6,33
2023,11,7,38
2023,11,8,33
2023,11,9,42
2023,11,10,13
2023,11,11,18
2023,11,12,21
2023,11,13,32
2023,11,14,27
2023,11,15,29
2023,11,16,21
2023,11,17,28
2023,11,18,13
2023,11,19,24
2023,11,20,25
2023,11,21,19
2023,11,22,25
2023,11,23,22
2023,11,24,19
2023,11,25,8
2023,11,26,17
2023,11,27,15
2023,11,28,18
2023,11,29,32
2023,11,30,15
2023,12,1,11
2023,12,2,11
2023,12,3,12
2023,12,4,10
2023,12,5,21
2023,12,6,12
2023,12,7,24
2023,12,8,19
2023,12,9,37
2023,12,10,23
2023,12,11,24
2023,12,12,27
2023,12,13,39
2023,12,14,21
2023,12,15,23
2023,12,16,25
2023,12,17,21
2023,12,18,35
2023,12,19,37
2023,12,20,25
2023,12,21,30
2023,12,22,21
2023,12,23,15
2023,12,24,6
2023,12,25,9
2023,12,26,24
2023,12,27,16
2023,12,28,14
2023,12,29,9
2023,12,30,8
2023,12,31,10
2024,1,1,9
2024,1,2,20
2024,1,3,16
2024,1,4,18
2024,1,5,23
2024,1,6,13
2024,1,7,7
2024,1,8,20
2024,1,9,31
2024,1,10,100
2024,1,11,141
2024,1,12,130
2024,1,13,63
2024,1,14,37
2024,1,15,45
2024,1,16,38
2024,1,17,57
2024,1,18,48
2024,1,19,34
2024,1,20,20
2024,1,21,31
2024,1,22,65
2024,1,23,40
2024,1,24,41
2024,1,25,30
2024,1,26,28
2024,1,27,14
2024,1,28,21
2024,1,29,25
2024,1,30,28
2024,1,31,32
2024,2,1,22
2024,2,2,24
2024,2,3,17
2024,2,4,10
2024,2,5,19
2024,2,6,29
2024,2,7,25
2024,2,8,18
2024,2,9,28
2024,2,10,20
2024,2,11,18
2024,2,12,20
2024,2,13,23
2024,2,14,21
2024,2,15,26
2024,2,16,23
2024,2,17,14
2024,2,18,12
2024,2,19,15
2024,2,20,23
2024,2,21,21
2024,2,22,22
2024,2,23,13
2024,2,24,12
2024,2,25,4
2024,2,26,18
2024,2,27,19
2024,2,28,14
2024,2,29,14
2024,3,1,15
2024,3,2,10
2024,3,3,15
2024,3,4,21
2024,3,5,17
2024,3,6,19
2024,3,7,11
2024,3,8,12
2024,3,9,11
2024,3,10,4
2024,3,11,16
2024,3,12,21
2024,3,13,12
2024,3,14,27
2024,3,15,32
2024,3,16,23
2024,3,17,23
2024,3,18,25
2024,3,19,22
2024,3,20,23
2024,3,21,23
2024,3,22,33
2024,3,23,19
2024,3,24,13
2024,3,25,18
2024,3,26,15
2024,3,27,26
2024,3,28,20
2024,3,29,24
2024,3,30,17
2024,3,31,12
2024,4,1,30
2024,4,2,23
2024,4,3,25
2024,4,4,56
2024,4,5,39
2024,4,6,40
2024,4,7,30
2024,4,8,23
2024,4,9,25
2024,4,10,16
2024,4,11,54
2024,4,12,54
2024,4,13,25
2024,4,14,21
2024,4,15,41
2024,4,16,32
2024,4,17,29
2024,4,18,31
2024,4,19,21
2024,4,20,11
2024,4,21,10
2024,4,22,17
2024,4,23,22
2024,4,24,50
2024,4,25,115
2024,4,26,151
2024,4,27,53
2024,4,28,46
2024,4,29,47
2024,4,30,64
2024,5,1,69
2024,5,2,57
2024,5,3,38
2024,5,4,20
2024,5,5,19
2024,5,6,22
2024,5,7,24
2024,5,8,30
2024,5,9,24
2024,5,10,22
2024,5,11,14
2024,5,12,13
2024,5,13,28
2024,5,14,27
2024,5,15,57
2024,5,16,35
2024,5,17,34
2024,5,18,18
2024,5,19,13
2024,5,20,21
2024,5,21,30
2024,5,22,20
2024,5,23,19
2024,5,24,21
2024,5,25,11
2024,5,26,6
2024,5,27,18
2024,5,28,16
2024,5,29,20
2024,5,30,24
2024,5,31,20
2024,6,1,13
2024,6,2,14
2024,6,3,17
2024,6,4,16
2024,6,5,19
2024,6,6,14
2024,6,7,15
2024,6,8,5
2024,6,9,14
2024,6,10,17
2024,6,11,16
2024,6,12,12
2024,6,13,18
2024,6,14,9
2024,6,15,4
2024,6,16,6
2024,6,17,17
2024,6,18,19
2024,6,19,18
2024,6,20,13
2024,6,21,24
2024,6,22,6
2024,6,23,6
2024,6,24,13
2024,6,25,24
2024,6,26,21
2024,6,27,19
2024,6,28,9
2024,6,29,9
2024,6,30,3
2024,7,1,13
2024,7,2,13
2024,7,3,10
2024,7,4,8
2024,7,5,7
2024,7,6,11
2024,7,7,10
2024,7,8,7
2024,7,9,15
2024,7,10,12
2024,7,11,12
2024,7,12,11
2024,7,13,8
2024,7,14,11
2024,7,15,18
2024,7,16,17
2024,7,17,9
2024,7,18,11
2024,7,19,10
2024,7,20,4
2024,7,21,8
2024,7,22,17
2024,7,23,17
2024,7,24,17
2024,7,25,16
2024,7,26,16
2024,7,27,3
2024,7,28,8
2024,7,29,22
2024,7,30,23
2024,7,31,20
2024,8,1,17
2024,8,2,18
2024,8,3,9
2024,8,4,10
2024,8,5,11
2024,8,6,14
2024,8,7,19
2024,8,8,11
2024,8,9,8
2024,8,10,8
2024,8,11,6
2024,8,12,15
2024,8,13,12
2024,8,14,8
2024,8,15,17
2024,8,16,9
2024,8,17,11
2024,8,18,10
2024,8,19,8
2024,8,20,13
2024,8,21,9
2024,8,22,10
2024,8,23,16
2024,8,24,14
2024,8,25,5
2024,8,26,3
2024,8,27,7
2024,8,28,14
2024,8,29,16
2024,8,30,18
2024,8,31,7
2024,9,1,11
2024,9,2,12
2024,9,3,10
2024,9,4,18
2024,9,5,19
2024,9,6,21
2024,9,7,18
2024,9,8,8
2024,9,9,17
2024,9,10,9
2024,9,11,12
2024,9,12,12
2024,9,13,7
2024,9,14,2
2024,9,15,12
2024,9,16,8
2024,9,17,10
2024,9,18,19
2024,9,19,13
2024,9,20,20
2024,9,21,16
2024,9,22,6
2024,9,23,12
2024,9,24,16
2024,9,25,15
2024,9,26,14
2024,9,27,16
2024,9,28,13
2024,9,29,6
2024,9,30,10
2024,10,1,15
2024,10,2,13
2024,10,3,21
2024,10,4,15
2024,10,5,13
2024,10,6,19
2024,10,7,24
2024,10,8,12
2024,10,9,20
2024,10,10,14
2024,10,11,6
2024,10,12,8
2024,10,13,3
2024,10,14,18
2024,10,15,13
2024,10,16,9
2024,10,17,8
2024,10,18,8
2024,10,19,9
2024,10,20,9
2024,10,21,15
2024,10,22,8
2024,10,23,15
2024,10,24,15
2024,10,25,12
2024,10,26,6
2024,10,27,3
2024,10,28,35
2024,10,29,26
2024,10,30,24
2024,10,31,16
2024,11,1,15
2024,11,2,7
2024,11,3,3
2024,11,4,19
2024,11,5,12
2024,11,6,11
2024,11,7,17
2024,11,8,8
2024,11,9,9
2024,11,10,4
2024,11,11,10
2024,11,12,20
2024,11,13,13
2024,11,14,12
2024,11,15,8
2024,11,16,11
2024,11,17,11
2024,11,18,11
2024,11,19,17
2024,11,20,12
2024,11,21,10
2024,11,22,8
2024,11,23,10
2024,11,24,7
2024,11,25,9
2024,11,26,11
2024,11,27,12
2024,11,28,12
2024,11,29,11
2024,11,30,8
2024,12,1,6
2024,12,2,16
2024,12,3,8
2024,12,4,11
2024,12,5,9
2024,12,6,8
2024,12,7,3
2024,12,8,6
2024,12,9,7
2024,12,10,11
2024,12,11,14
2024,12,12,10
2024,12,13,8
2024,12,14,9
2024,12,15,9
2024,12,16,9
2024,12,17,13
2024,12,18,7
2024,12,19,8
2024,12,20,12
2024,12,21,6
2024,12,22,5
2024,12,23,6
2024,12,24,3
2024,12,25,8
2024,12,26,9
2024,12,27,11
2024,12,28,5
2024,12,29,7
2024,12,30,9
2024,12,31,9
2025,1,1,3
2025,1,2,9
2025,1,3,15
2025,1,4,10
2025,1,5,11
2025,1,6,6
2025,1,7,12
2025,1,8,7
2025,1,9,10
2025,1,10,13
2025,1,11,7
2025,1,12,10
2025,1,13,9
2025,1,14,10
2025,1,15,13
2025,1,16,6
2025,1,17,5
2025,1,18,9
2025,1,19,5
2025,1,20,15
2025,1,21,7
2025,1,22,18
2025,1,23,21
2025,1,24,13
2025,1,25,18
2025,1,26,12
2025,1,27,15
2025,1,28,34
2025,1,29,26
2025,1,30,20
2025,1,31,18
2025,2,1,8
2025,2,2,12
2025,2,3,21
2025,2,4,12
2025,2,5,20
2025,2,6,14
2025,2,7,18
2025,2,8,10
2025,2,9,14
2025,2,10,15
2025,2,11,7
2025,2,12,10
2025,2,13,15
2025,2,14,14
2025,2,15,5
2025,2,16,2
2025,2,17,10
2025,2,18,8
2025,2,19,6
2025,2,20,9
2025,2,21,6
2025,2,22,8
2025,2,23,8
2025,2,24,8
2025,2,25,12
2025,2,26,8
2025,2,27,23
2025,2,28,20
2025,3,1,17
2025,3,2,7
2025,3,3,31
2025,3,4,28
2025,3,5,17
2025,3,6,14
2025,3,7,10
2025,3,8,12
2025,3,9,8
2025,3,10,11
2025,3,11,9
2025,3,12,10
2025,3,13,13
2025,3,14,16
2025,3,15,3
2025,3,16,12
2025,3,17,11
2025,3,18,17
2025,3,19,14
2025,3,20,9
2025,3,21,7
2025,3,22,5
2025,3,23,5
2025,3,24,19
2025,3,25,16
2025,3,26,9
2025,3,27,13
2025,3,28,10
2025,3,29,7
2025,3,30,8
2025,3,31,12
2025,4,1,11
2025,4,2,19
