Data card,
,Submission
Title:,repostatus
Submitter:,sophia-iv
Author(s):,jantman
Author affiliation(s):,unknown
Description:,project status taxonomy for GitHub repositories
Data source(s) / data type(s):,GitHub repository badges and labels
Suggested tags for this taxonomy: ,"project status, project lifecycle"
Link(s) to public resources that use this taxonomy: ,https://www.repostatus.org/
License(s): ,CC-BY-SA 4.0 license
,
Taxonomy,
Project Status,
,
Concept,"Minimal or no implementation has been done yet, or the repository is only intended to be a limited example, demo, or proof-of-concept."
WIP,"Initial development is in progress, but there has not yet been a stable, usable release suitable for the public."
Suspended,"Initial development has started, but there has not yet been a stable, usable release; work has been stopped for the time being but the author(s) intend on resuming work."
Abandoned,"Initial development has started, but there has not yet been a stable, usable release; the project has been abandoned and the author(s) do not intend on continuing development."
Active,"The project has reached a stable, usable state and is being actively developed."
Inactive,"The project has reached a stable, usable state but is no longer being actively developed; support/maintenance will be provided as time allows."
Unsupported,"The project has reached a stable, usable state but the author(s) have ceased all work on it. A new maintainer may be desired."
Moved,"The project has been moved to a new location, and the version at that location should be considered authoritative. This status should be accompanied by a new URL."